Ensembl Gene ID	Gene.name	FoldChange	pvalue	padj
ENSG00000154319.10	FAM167A	7.49057702248707	1.58800451142156e-38	1.29462067793643e-34
ENSG00000128342.4	LIF	6.5146557513804	6.10782275229343e-25	1.24485062470181e-21
ENSG00000187323.7	DCC	-6.3724035206573	2.9361462120023e-29	1.59579546622325e-25
ENSG00000120149.6	MSX2	5.61816656316469	1.68316910882114e-22	2.11108248610221e-19
ENSG00000180767.5	CHST13	4.83482797548413	6.34223793509542e-15	1.66790628276985e-12
ENSG00000123610.3	TNFAIP6	4.67295053668878	1.36278184642602e-22	1.85167983383135e-19
ENSG00000108176.8	DNAJC12	4.62564153174691	9.40364571082045e-16	2.94858544836399e-13
ENSG00000249306.1	RP11-267A15.1	4.50418001409844	2.20448950106539e-14	5.17416140226905e-12
ENSG00000142583.13	SLC2A5	4.48784839635415	7.80244186044233e-40	1.27218814534512e-35
ENSG00000255021.1	RP11-536I6.2	4.15834833365119	2.57258414176695e-12	3.81327131195546e-10
ENSG00000103241.5	FOXF1	3.98301022005938	1.25437909014327e-13	2.40619424291601e-11
ENSG00000106366.7	SERPINE1	3.93551054998866	6.67398785794757e-28	1.81365620039725e-24
ENSG00000105696.4	TMEM59L	3.89127636883458	6.91009296240139e-14	1.40836332189943e-11
ENSG00000046889.14	PREX2	3.8655902225952	1.30610823578964e-22	1.85167983383135e-19
ENSG00000218336.3	TENM3	3.78483199493809	1.41138283319715e-18	6.88754480341263e-16
ENSG00000185652.6	NTF3	3.76781836772312	1.45320065776375e-14	3.53648309325938e-12
ENSG00000138316.6	ADAMTS14	3.74374115563194	3.83669237000526e-17	1.56393172732339e-14
ENSG00000011426.6	ANLN	3.72090003751284	5.08325663462605e-20	3.31529997710311e-17
ENSG00000002933.3	TMEM176A	-3.71547221349091	7.58768321928444e-15	1.96376468080052e-12
ENSG00000159650.4	UROC1	3.67007129857788	1.77495829870767e-16	6.29145544791924e-14
ENSG00000138650.6	PCDH10	3.65524300729082	4.38586842698618e-14	9.40941903973812e-12
ENSG00000169583.12	CLIC3	3.61603987076149	1.90672415640715e-15	5.2693453169862e-13
ENSG00000114270.11	COL7A1	3.58993083546634	3.62092986689397e-17	1.51382721742836e-14
ENSG00000149948.9	HMGA2	3.58494941313784	5.5599716209947e-11	6.00366472055089e-09
ENSG00000166165.8	CKB	3.57281365246078	5.48853620434135e-22	5.55043909761696e-19
ENSG00000230838.1	AC093850.2	3.51629395442779	1.95249431754858e-11	2.33860715478329e-09
ENSG00000141198.9	TOM1L1	3.50294186909671	9.82302451103143e-14	1.92969174279961e-11
ENSG00000135547.4	HEY2	3.49319202044221	1.32639377760088e-15	3.861937597104e-13
ENSG00000120875.4	DUSP4	3.47638312941468	4.23999252472056e-16	1.38266156231137e-13
ENSG00000038427.11	VCAN	3.45727373533521	9.40567195698226e-21	6.97088551175435e-18
ENSG00000115363.9	EVA1A	3.38054171007771	8.5047860370246e-10	7.23622498037345e-08
ENSG00000006128.7	TAC1	-3.35113877766289	1.77762520252496e-14	4.26237925399552e-12
ENSG00000169442.4	CD52	-3.32705615309549	1.27885223491637e-10	1.24860393355158e-08
ENSG00000108001.9	EBF3	3.32546751969897	2.06206638009537e-09	1.57849729236878e-07
ENSG00000171017.6	LRRC8E	3.31610622960196	5.20537917041143e-13	8.84101118474567e-11
ENSG00000165238.12	WNK2	-3.30316582847644	5.78702635139456e-22	5.55043909761696e-19
ENSG00000104415.9	WISP1	3.30307059389509	1.21364109556317e-22	1.85167983383135e-19
