Term	Genes	Adjusted p-value
Homo sapiens: GPCR ligand binding	TAC1 AGTR2 WNT5A PTGER3 FZD10 ADCYAP1R1 CCL20 PTGER4 S1PR2 HCAR1 WNT7B GLP2R PTGER2 IL8 SSTR2 F2R PTGFR PTGER1 EDNRA CD55 FZD2 PTCH2 GIPR WNT9A FZD1 WNT16 FZD9 JAK3 HTR2B S1PR3 C3 FZD3 SMO GNB3 GNG11 OPN3 CCBP2 ANXA1 PTCH1 CXCR7 ADM AGTR1	2.83627842803898e-07
Homo sapiens: Extracellular matrix organization	SERPINE1 ADAMTS14 COL7A1 VCAN LAMB3 COL1A1 ITGAX LEPREL1 ADAMTS5 ITGA3 COL18A1 COL8A1 COL9A1 COL24A1 SDC3 LUM COL16A1 ITGB4 ASPN COL22A1 COL11A2 COL13A1 COL9A2 COL27A1 MMP16 ITGA4 COL9A3 COL14A1 LAMC2 FN1 COL12A1 LAMA5 LOXL1 ADAMTS1 HAPLN1 PTPRS ITGA2B PDGFA MATN4 COL8A2 COL6A3 FBLN2 COL15A1 JAM2 F11R ACAN ICAM1 ADAM9 ITGB5 LAMA1 COL5A3 LTBP4 COL25A1 ADAMTS3 ITGA9	3.77914763092307e-07
Homo sapiens: Signal Transduction	SERPINE1 HEY2 DUSP4 TAC1 AGTR2 BMPR1B FGF9 CDK1 DNER GPC4 IGF2 DACT1 WNT5A RSPO3 NEDD4L AKR1C1 ARHGAP44 PDE10A CDKN2B GPC5 PGR PPP1R1B NGF PDE3B PTGER3 COL9A1 DGKI SDC3 FZD10 ADCYAP1R1 PLAT CCL20 PTGER4 S1PR2 HCAR1 OBSCN WNT7B ECT2 ESR1 RASGRF2 GLP2R DKK1 FSTL3 LEF1 ARHGAP11A COL9A2 ADCY1 PRKCB THBS4 RNF43 PDE7B PTGER2 IL8 PRKG2 SPRY1 SSTR2 PDGFC CCND1 RAC2 INHBB PDE4C ITSN1 F2R DUSP6 STARD8 PTGFR ST3GAL6 PTGER1 COL9A3 ARHGAP24 VEGFC FN1 ADAM12 EDNRA CD55 ROR2 CNTN1 IRS1 WNT5B FZD2 MYC PIK3R1 PTCH2 ARHGEF16 E2F1 NRG4 GIPR FGFR2 GNAI1 PRKAR2B WNT9A CDKN1A STRA6 ITGA2B TLE2 PDE1A GH1 SH3KBP1 PDGFA NTRK2 ARHGAP9 ERBB4 NOTCH3 FZD1 WNT16 FZD9 COL6A3 JAK3 HTR2B INHBA S1PR3 C3 ROR1 FZD3 TLE3 SRGAP1 NMT2 RPS6KA5 SMO UBE2D1 NRG2 PCSK5 OPHN1 GNB3 F11R PRLR MAPKAPK3 ITPR1 SRGAP3 GNG11 LRP5 FGFR4 AKR1C3 OPN3 TCIRG1 FGFR3 CCBP2 GPC6 ANXA1 KL TGFBR1 COL5A3 PTCH1 VAV2 MYO9B H2AFZ RACGAP1 CXCR7 S100B TCF7L1 ARHGAP28 ADM NRP2 FSTL1 DHRS3 BCO2 PRKCQ AGTR1 RIPK2	1.62950257817276e-06
Homo sapiens: Collagen biosynthesis and modifying enzymes	ADAMTS14 COL7A1 COL1A1 LEPREL1 COL18A1 COL8A1 COL9A1 COL24A1 COL16A1 COL22A1 COL11A2 COL13A1 COL9A2 COL27A1 COL9A3 COL14A1 COL12A1 COL8A2 COL6A3 COL15A1 COL5A3 COL25A1 ADAMTS3	1.62950257817276e-06
Homo sapiens: Collagen formation	ADAMTS14 COL7A1 LAMB3 COL1A1 LEPREL1 COL18A1 COL8A1 COL9A1 COL24A1 COL16A1 ITGB4 COL22A1 COL11A2 COL13A1 COL9A2 COL27A1 COL9A3 COL14A1 LAMC2 COL12A1 LOXL1 COL8A2 COL6A3 COL15A1 COL5A3 COL25A1 ADAMTS3	2.49472744837075e-06
Homo sapiens: Signaling by GPCR	TAC1 AGTR2 CDK1 WNT5A PDE10A PPP1R1B PDE3B PTGER3 DGKI FZD10 ADCYAP1R1 CCL20 PTGER4 S1PR2 HCAR1 OBSCN WNT7B ECT2 RASGRF2 GLP2R ADCY1 PRKCB PDE7B PTGER2 IL8 SSTR2 RAC2 PDE4C ITSN1 F2R PTGFR PTGER1 EDNRA CD55 FZD2 PIK3R1 PTCH2 ARHGEF16 GIPR GNAI1 PRKAR2B WNT9A PDE1A FZD1 WNT16 FZD9 JAK3 HTR2B S1PR3 C3 FZD3 SMO GNB3 ITPR1 GNG11 OPN3 CCBP2 ANXA1 PTCH1 VAV2 CXCR7 ADM PRKCQ AGTR1	5.94645110818008e-06
Homo sapiens: Class B/2 (Secretin family receptors)	WNT5A FZD10 ADCYAP1R1 WNT7B GLP2R CD55 FZD2 PTCH2 GIPR WNT9A FZD1 WNT16 FZD9 FZD3 SMO GNB3 GNG11 PTCH1 ADM	2.11468169701906e-05
Homo sapiens: Integrin cell surface interactions	COL7A1 COL1A1 ITGAX ITGA3 COL18A1 COL8A1 COL9A1 LUM COL16A1 COL13A1 COL9A2 ITGA4 COL9A3 FN1 ITGA2B COL8A2 COL6A3 JAM2 F11R ICAM1 ITGB5 COL5A3 ITGA9	9.44934468894595e-05
Homo sapiens: Collagen degradation	COL7A1 COL1A1 COL18A1 COL8A1 COL9A1 COL16A1 COL11A2 COL13A1 COL9A2 COL9A3 COL14A1 COL12A1 COL8A2 COL6A3 COL15A1 ADAM9 COL5A3 COL25A1	0.000182574772594012
Homo sapiens: Degradation of the extracellular matrix	COL7A1 LAMB3 COL1A1 ADAMTS5 COL18A1 COL8A1 COL9A1 COL16A1 COL11A2 COL13A1 COL9A2 MMP16 COL9A3 COL14A1 LAMC2 FN1 COL12A1 LAMA5 ADAMTS1 COL8A2 COL6A3 COL15A1 ACAN ADAM9 COL5A3 COL25A1	0.000208878993417222
