sampleNumber	FileName	Cy3	Cy5
1	167-201-xdr_251485038757_S01_GE2-v5_95_Feb07_1_1.txt	undamaged	damaged
2	167-201-xdr_251485038757_S01_GE2-v5_95_Feb07_1_2.txt	undamaged	damaged
3	167-201-xdr_251485038757_S01_GE2-v5_95_Feb07_1_3.txt	undamaged	damaged
4	167-201-xdr_251485038757_S01_GE2-v5_95_Feb07_1_4.txt	undamaged	damaged
5	167-201-xdr_251485038758_S01_GE2-v5_95_Feb07_1_1.txt	undamaged	damaged
6	167-201-xdr_251485038758_S01_GE2-v5_95_Feb07_1_2.txt	undamaged	damaged
7	167-201-xdr_251485038758_S01_GE2-v5_95_Feb07_1_3.txt	undamaged	damaged
8	167-201-xdr_251485038758_S01_GE2-v5_95_Feb07_1_4.txt	undamaged	damaged
9	167-201-xdr_251485038759_S01_GE2-v5_95_Feb07_1_1.txt	undamaged	damaged
10	167-201-xdr_251485038759_S01_GE2-v5_95_Feb07_1_2.txt	undamaged	damaged
