yourlist:M2014110413E2QBPDYQ	Entry	Entry name	Protein names
7105	O43657	TSN6_HUMAN	Tetraspanin-6 (Tspan-6) (A15 homolog) (Putative NF-kappa-B-activating protein 321) (T245 protein) (Tetraspanin TM4-D) (Transmembrane 4 superfamily member 6)
8813	O60762	DPM1_HUMAN	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)
8813	Q5QPK2	Q5QPK2_HUMAN	Dolichol-phosphate mannosyltransferase subunit 1
57147	Q8IZE3	PACE1_HUMAN	Protein-associating with the carboxyl-terminal domain of ezrin (Ezrin-binding protein PACE-1) (SCY1-like protein 3)
55732	Q9NSG2	CA112_HUMAN	Uncharacterized protein C1orf112
2268	P09769	FGR_HUMAN	Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)
2268	P78453	P78453_HUMAN	Tyrosine kinase (Fragment)
3075	P08603	CFAH_HUMAN	Complement factor H (H factor 1)
2519	Q9BTY2	FUCO2_HUMAN	Plasma alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase 2) (Alpha-L-fucosidase 2)
2729	E1CEI4	E1CEI4_HUMAN	Glutamate--cysteine ligase catalytic subunit (Glutamate-cysteine ligase delta4 alternative splicing variant)
2729	P48506	GSH1_HUMAN	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)
2729	Q14TF0	Q14TF0_HUMAN	Glutamate-cysteine ligase (Glutamate-cysteine ligase, catalytic subunit, isoform CRA_a) (cDNA, FLJ94028, Homo sapiens glutamate-cysteine ligase, catalytic subunit (GCLC),mRNA)
4800	P23511	NFYA_HUMAN	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)
90529	Q5TH74	STPG1_HUMAN	O(6)-methylguanine-induced apoptosis 2 (MAPO2) (Sperm-tail PG-rich repeat-containing protein 1)
57185	A6NN97	A6NN97_HUMAN	Uncharacterized protein
57185	Q6P499	NPAL3_HUMAN	NIPA-like protein 3
81887	Q9Y4W2	LAS1L_HUMAN	Ribosomal biogenesis protein LAS1L (Protein LAS1 homolog)
22875	Q9Y6X5	ENPP4_HUMAN	Bis(5'-adenosyl)-triphosphatase ENPP4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4)
6405	Q13275	SEM3F_HUMAN	Semaphorin-3F (Sema III/F) (Semaphorin IV) (Sema IV)
54467	Q9P2G1	AKIB1_HUMAN	Ankyrin repeat and IBR domain-containing protein 1
1595	Q16850	CP51A_HUMAN	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.13.70) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase)
889	A4D1F7	A4D1F7_HUMAN	Cerebral cavernous malformations 1 (KRIT1, ankyrin repeat containing, isoform CRA_b) (cDNA FLJ31975 fis, clone NT2RP7008190, highly similar to Krev interaction trapped protein 1)
889	O00522	KRIT1_HUMAN	Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein)
5893	B7Z2G8	B7Z2G8_HUMAN	cDNA FLJ56674, highly similar to DNA repair protein RAD52 homolog
